epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.857,2.0441,4.49642,2.24625,0.00299,0.6957,0.01504,0.00583,2.06866,4.92846,2.53918,0.000231737,0.000231737,0.000231737
2,237.861,1.75725,4.34957,2.045,0.0029,0.69672,0.02676,0.00986,1.92612,4.78496,2.4263,0.000460436,0.000460436,0.000460436
3,359.096,1.72496,4.22199,2.02564,0.70685,0.03913,0.03648,0.01609,1.91708,4.58765,2.39502,0.00067971,0.00067971,0.00067971
4,480.696,1.70442,4.05941,1.99972,0.52502,0.16104,0.04463,0.01896,1.97316,4.79702,2.36892,0.000671588,0.000671588,0.000671588
5,602.541,1.80093,4.06163,2.05215,0.64264,0.11205,0.09324,0.03687,1.96723,4.46104,2.36257,0.000657451,0.000657451,0.000657451
6,711.491,1.82334,4.08307,2.10065,0.47581,0.12117,0.10346,0.03615,1.9393,4.25398,2.31227,0.000643314,0.000643314,0.000643314
7,826.793,1.79857,3.85649,2.03326,0.38372,0.19307,0.11167,0.05244,1.89634,4.35739,2.31068,0.000629177,0.000629177,0.000629177
8,930.371,1.74449,3.9868,2.04197,0.70652,0.09212,0.07567,0.02443,2.14059,4.91518,2.58358,0.00061504,0.00061504,0.00061504
9,1034.74,1.75077,3.77373,2.02611,0.72921,0.10084,0.11487,0.05061,1.78812,4.3446,2.24019,0.000600902,0.000600902,0.000600902
10,1135.57,1.69647,3.69398,2.00749,0.36355,0.21655,0.14539,0.06281,1.72563,4.31941,2.23474,0.000586765,0.000586765,0.000586765
11,1231.78,1.78617,3.74937,2.06128,0.38149,0.24752,0.14247,0.06123,1.85923,4.36734,2.38325,0.000572628,0.000572628,0.000572628
12,1323.11,1.69317,3.70842,1.98737,0.24536,0.27165,0.15201,0.06711,1.81443,4.573,2.28816,0.000558491,0.000558491,0.000558491
13,1415.89,1.60444,3.46332,1.93196,0.26104,0.30979,0.19183,0.08246,1.78337,4.97913,2.26182,0.000544354,0.000544354,0.000544354
14,1508.7,1.6432,3.59184,1.94898,0.25724,0.3564,0.23298,0.11226,1.67383,4.50062,2.1268,0.000530216,0.000530216,0.000530216
15,1599.48,1.61692,3.48084,1.947,0.32482,0.36474,0.24713,0.12243,1.64527,4.11055,2.11322,0.000516079,0.000516079,0.000516079
16,1695.08,1.67437,3.40169,1.93214,0.43406,0.27145,0.27744,0.14391,1.66329,3.92741,2.13581,0.000501942,0.000501942,0.000501942
17,1814.28,1.64443,3.32699,1.95428,0.53912,0.30089,0.3212,0.16631,1.65494,3.98587,2.1433,0.000487805,0.000487805,0.000487805
18,1921.12,1.52534,3.35029,1.87793,0.50365,0.3433,0.3234,0.16126,1.58541,4.04527,2.0923,0.000473668,0.000473668,0.000473668
19,2027.38,1.62299,3.1417,1.92595,0.48027,0.34686,0.35108,0.18854,1.5239,3.7292,2.03545,0.00045953,0.00045953,0.00045953
20,2135.78,1.49546,3.2979,1.84335,0.50728,0.3211,0.33153,0.18169,1.51805,3.82651,2.05434,0.000445393,0.000445393,0.000445393
21,2245.02,1.48067,3.08728,1.82799,0.41797,0.4269,0.34451,0.19074,1.52792,3.70777,2.0953,0.000431256,0.000431256,0.000431256
22,2346.98,1.45543,2.98875,1.83169,0.56983,0.4165,0.40789,0.22331,1.48247,3.42202,2.03645,0.000417119,0.000417119,0.000417119
23,2446.96,1.51,2.86744,1.82944,0.56139,0.41637,0.43545,0.22609,1.47569,3.63973,2.00406,0.000402982,0.000402982,0.000402982
24,2544.86,1.43513,2.85328,1.78591,0.44257,0.55896,0.46503,0.24314,1.4524,3.48857,1.94746,0.000388844,0.000388844,0.000388844
25,2648.76,1.41731,2.95872,1.78728,0.41242,0.50524,0.44082,0.24236,1.4282,3.52865,1.91571,0.000374707,0.000374707,0.000374707
26,2775.52,1.4494,2.84472,1.76535,0.43492,0.50787,0.45887,0.26524,1.38518,3.49961,1.87514,0.00036057,0.00036057,0.00036057
27,2893.88,1.3942,2.66086,1.72198,0.43372,0.60816,0.50115,0.30594,1.29498,2.93803,1.81529,0.000346433,0.000346433,0.000346433
28,3023.5,1.4178,2.89792,1.77981,0.55774,0.51315,0.52774,0.3296,1.28341,3.01073,1.80342,0.000332296,0.000332296,0.000332296
29,3141.65,1.38328,2.83042,1.7357,0.49894,0.58744,0.55526,0.3387,1.26585,3.35379,1.80002,0.000318158,0.000318158,0.000318158
30,3285.37,1.42768,2.71116,1.7912,0.5745,0.5767,0.59652,0.35461,1.25784,3.14475,1.79045,0.000304021,0.000304021,0.000304021
